cal,calibration_alpha_rmse,diverged,failure,fault,feasibility_risk_ext,feasibility_risk_ext_est,feasibility_risk_tau_only,hold_error,hold_velocity,holdout_torque_rmse,horizon,pin_shift,rho_tau,rho_tau_est,rho_vel,saturation_fraction,seed,target,torque
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,0,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,1,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,2,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,3,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,4,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,5,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,6,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,7,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,8,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,9,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,10,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,11,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,12,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,13,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,14,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,15,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,16,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,17,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,18,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,19,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,20,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,21,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,22,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,23,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,24,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,25,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,26,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,27,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,28,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,29,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,30,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,31,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,32,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,33,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,34,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,35,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,36,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,37,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,38,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,39,near,loose
